Players,Country,Franchise,Price,Reserve Price,Specialty
Cameron White,Australia,Bangalore,500000,100000,All Rounder
Jacques Kallis ,South Africa,Bangalore,900000,225000,AllRounder
Wasim Jaffer,India,Bangalore,150000,150000,Batsman
Shivnarine Chanderpaul ,West Indies,Bangalore,200000,200000,Batsman
Anil Kumble,India,Bangalore,500000,250000,Bowler
Zaheer Khan ,India,Bangalore,450000,200000,Bowler
Nathan Bracken,Australia,Bangalore,325000,225000,Bowler
Dale Steyn,South Africa,Bangalore,325000,150000,Bowler
Mark Boucher ,South Africa,Bangalore,450000,200000,WK/Batsman
Matthew Hayden,Australia,Chennai,375000,225000,Batsman
Stephen Fleming,New Zealand,Chennai,350000,350000,Batsman
Suresh Raina,India,Chennai,650000,125000,Batsman
Michael Hussey,Australia,Chennai,250000,250000,Batsman
M Muralitharan,Sri Lanka,Chennai,600000,250000,Bowler
Jacob Oram,New Zealand,Chennai,675000,200000,Bowler
Albie Morkel,South Africa,Chennai,675000,225000,Bowler
Joginder Sharma,India,Chennai,225000,100000,Bowler
Makhaya Ntini ,South Africa,Chennai,200000,200000,Bowler
MS Dhoni,India,Chennai,1500000,400000,WK/Batsman
Parthiv Patel,India,Chennai,325000,150000,WK/Batsman
Fervez Maharoof,Sri Lanka,Delhi,225000,150000,All Rounder
Shoaib Malik,Pakistan,Delhi,500000,300000,Batsman
AB de Villiers,South Africa,Delhi,300000,200000,Batsman
Tillakaratne Dilshan,Sri Lanka,Delhi,250000,150000,Batsman
Gautam Gambhir,India,Delhi,725000,220000,Batsman
Manoj Tiwary,India,Delhi,675000,100000,Batsman
Daniel Vettori,New Zealand ,Delhi,625000,250000,Bowler
Mohammad Asif ,Pakistan,Delhi,650000,225000,Bowler
Glenn McGrath,Australia,Delhi,350000,350000,Bowler
Dinesh Karthik,India,Delhi,525000,200000,WK/Batsman
Shahid Afridi,Pakistan,Hyderabad,675000,225000,All Rounder
Scott Styris,New Zealand,Hyderabad,175000,175000,All Rounder
Andrew Symonds ,Australia,Hyderabad,1350000,250000,Batsman
Herschelle Gibbs ,South Africa,Hyderabad,575000,250000,Batsman
VVS Laxman,India,Hyderabad,375000,150000,Batsman
Rohit Sharma,India,Hyderabad,750000,150000,Batsman
Chamara Silva,Sri Lanka,Hyderabad,100000,100000,Batsman
RP Singh,India,Hyderabad,875000,200000,Bowler
Chaminda Vaas ,Sri Lanka,Hyderabad,200000,200000,Bowler
Nuwan Zoysa,India,Hyderabad,110000,100000,Bowler
Adam Gilchrist ,Australia,Hyderabad,700000,300000,WK/Batsman
Yusuf Pathan,India,Jaipur,475000,100000,All Rounder
Graeme Smith ,South Africa,Jaipur,250000,250000,Batsman
Younis Khan,Pakistan,Jaipur,225000,225000,Batsman
Mohammad Kaif,India,Jaipur,675000,125000,Batsman
Justin Langer,Australia,Jaipur,200000,200000,Batsman
Shane Warne ,Australia,Jaipur,450000,450000,Bowler
Munaf Patel,India,Jaipur,275000,100000,Bowler
Kamran Akmal,Pakistan,Jaipur,150000,150000,WK/Batsman
Ricky Ponting ,Australia,Kolkata,400000,335000,Batsman
Chris Gayle,West Indies ,Kolkata,800000,250000,Batsman
David Hussey,Australia,Kolkata,625000,100000,Batsman
Shoaib Akhtar,Pakistan,Kolkata,425000,250000,Bowler
Ajit Agarkar,India,Kolkata,350000,200000,Bowler
Murali Kartik ,India,Kolkata,425000,200000,Bowler
Umar Gul,Pakistan,Kolkata,150000,150000,Bowler
Ishant Sharma,India,Kolkata,950000,150000,Bowler
Brendon McCullum,New Zealand,Kolkata,700000,175000,WK/Batsman
Tatenda Taibu,Zimbabwe,Kolkata,125000,125000,WK/Batsman
M Jayawardene,Sri Lanka,Mohali,475000,250000,Batsman
Ramnaresh Sarwan,West Indies,Mohali,225000,225000,Batsman
Simon Katich,Australia,Mohali,200000,200000,Batsman
Brett Lee [Images],Australia,Mohali,900000,300000,Bowler
S Sreesanth,India,Mohali,625000,200000,Bowler
Irfan Pathan ,India,Mohali,925000,200000,Bowler
Ramesh Powar,India,Mohali,170000,150000,Bowler
Piyush Chawla,India,Mohali,400000,125000,Bowler
Kumar Sangakkara,Sri Lanka,Mohali,700000,250000,WK/Batsman
Sanath Jayasuriya,Sri Lanka,Mumbai,975000,250000,All Rounder
Shaun Pollock,South Africa,Mumbai,550000,200000,All Rounder
Robin Uthappa,India,Mumbai,800000,200000,Batsman
Loots Bosman,South Africa,Mumbai,150000,150000,Batsman
Harbhajan Singh ,India,Mumbai,850000,250000,Bowler
Lasith Malinga ,Sri Lanka,Mumbai,350000,200000,Bowler
Dilhara Fernando,Sri Lanka,Mumbai,150000,150000,Bowler
